field_id,field_name,organic_matter_pct,pH,CEC_meq_100g,bulk_density_g_cm3,available_water_capacity_cm,sand_pct,silt_pct,clay_pct,EC_dS_m,field_acres,location,latitude,longitude,k_factor,slope_pct,topsoil_depth_cm,commodity_2023,yield_2023_bu_ac,commodity_2024,yield_2024_bu_ac,commodity_2025,yield_2025_bu_ac,drainage_class
F140,Magnolia Plot,4.4,7.2,24.8,1.07,0.21,68,46,-14,0.5,225,IA,41.81,-93.67,0.18,0.7,36,Soybeans,80.5,Soybeans,72.7,Soybeans,76.5,Well
F141,Hickory Hollow,5.5,7.3,19.8,1.17,0.23,60,34,6,0.6,192,IA,41.79,-93.64,0.19,2.5,30,Wheat,66.3,Wheat,70.2,Wheat,70.5,Well
F142,Walnut Grove,5.2,5.6,23.6,1.14,0.21,34,23,43,0.7,154,IA,41.78,-93.55,0.16,2.6,35,Corn,239.5,Corn,253.5,Corn,258.3,Well
F143,Chestnut Hill,1.9,7.3,11.2,1.44,0.1,44,27,29,1.3,208,IA,42.0,-93.46,0.39,7.4,15,Corn,176.9,Corn,189.9,Corn,186.8,Poor
F144,Sycamore Ridge,5.4,6.8,25.3,1.2,0.19,60,31,9,0.6,244,IA,42.01,-93.57,0.17,2.6,28,Corn,246.5,Corn,244.4,Corn,257.0,Well
F145,Poplar Field,2.8,7.5,14.7,1.31,0.15,40,37,23,1.7,209,IA,42.04,-93.58,0.32,3.0,25,Alfalfa,10.6,Alfalfa,10.3,Alfalfa,10.4,Somewhat Poor
F146,Cotton Row,1.6,5.7,10.4,1.54,0.12,29,36,35,0.6,234,IA,41.9,-93.65,0.47,9.1,12,Soybeans,47.0,Soybeans,52.0,Soybeans,48.5,Poor
F147,Tobacco Barn,2.6,6.0,13.3,1.3,0.17,33,39,28,1.0,177,IA,41.96,-93.62,0.3,4.9,21,Corn,203.2,Corn,214.4,Corn,204.4,Somewhat Poor
F148,Corn Patch,1.6,6.2,12.0,1.47,0.09,28,32,40,1.4,132,IA,41.97,-93.63,0.43,5.5,10,Corn,180.0,Corn,202.5,Corn,186.2,Poor
F149,Soybean Field,3.0,6.7,11.5,1.35,0.13,28,47,25,1.0,174,IA,42.03,-93.68,0.34,5.6,24,Alfalfa,9.3,Alfalfa,10.6,Alfalfa,9.6,Somewhat Poor
F150,Wheat Acre,5.1,6.6,18.7,1.24,0.21,25,31,44,0.7,180,IA,41.9,-93.63,0.21,1.2,31,Corn,230.1,Corn,249.0,Corn,248.4,Well
F151,Alfalfa Stand,5.1,5.5,23.2,1.23,0.18,54,40,6,0.6,186,IA,41.84,-93.52,0.17,1.3,41,Wheat,72.8,Wheat,70.8,Wheat,76.7,Well
F152,Clover Field,3.6,6.7,19.4,1.27,0.17,32,44,24,0.5,142,IA,42.02,-93.57,0.27,5.5,31,Soybeans,65.7,Soybeans,62.5,Soybeans,70.8,Moderately Well
F153,Bluegrass Pasture,5.2,6.8,19.0,1.07,0.22,31,41,28,0.4,205,IA,41.96,-93.61,0.22,2.2,32,Soybeans,80.4,Soybeans,82.4,Soybeans,81.0,Well
F154,Fescue Meadow,1.6,5.9,8.1,1.54,0.13,29,48,23,0.9,158,IA,41.88,-93.75,0.4,5.3,10,Soybeans,46.8,Soybeans,52.3,Soybeans,55.1,Poor
F155,Timothy Lot,3.4,6.4,23.1,1.15,0.25,31,20,49,1.0,183,IA,42.03,-93.62,0.15,1.8,45,Alfalfa,10.3,Alfalfa,11.5,Alfalfa,11.0,Very Poor
F156,Brome Grass,2.4,6.2,12.1,1.37,0.16,28,18,54,1.1,76,IA,41.9,-93.65,0.37,7.7,25,Soybeans,56.6,Soybeans,60.8,Soybeans,53.3,Somewhat Poor
F157,Orchard Row,1.9,7.2,10.6,1.4,0.11,22,25,53,1.1,89,IA,41.84,-93.56,0.4,5.1,17,Corn,191.8,Corn,203.0,Corn,211.4,Poor
F158,Vineyard Hill,1.8,6.9,7.4,1.5,0.09,59,48,-7,1.0,77,IA,42.0,-93.59,0.47,5.4,13,Wheat,48.2,Wheat,47.3,Wheat,41.8,Poor
F159,Berry Patch,2.7,6.3,13.4,1.32,0.16,65,27,8,1.1,191,IA,41.87,-93.56,0.33,2.5,22,Wheat,57.2,Wheat,58.8,Wheat,56.4,Somewhat Poor
F160,Vegetable Plot,4.2,6.4,18.5,1.14,0.24,35,30,35,0.8,168,IA,41.88,-93.47,0.2,0.7,35,Alfalfa,11.7,Alfalfa,10.3,Alfalfa,10.1,Well
F161,Garden Row,2.7,5.6,15.9,1.28,0.16,43,46,11,1.5,180,IA,42.0,-93.64,0.29,2.5,26,Alfalfa,8.8,Alfalfa,9.1,Alfalfa,8.8,Moderately Well
F162,Orchard Acre,1.7,6.1,8.6,1.58,0.08,28,35,37,1.3,145,IA,41.76,-93.72,0.36,9.7,11,Corn,181.2,Corn,193.7,Corn,185.4,Poor
F163,Fruit Grove,3.5,6.9,15.2,1.33,0.13,23,21,56,0.7,204,IA,41.9,-93.58,0.33,5.8,23,Wheat,58.2,Wheat,51.8,Wheat,57.4,Somewhat Poor
F164,Nut Orchard,1.3,6.7,11.1,1.41,0.11,53,30,17,0.6,150,IA,42.02,-93.53,0.43,7.6,13,Alfalfa,7.4,Alfalfa,8.4,Alfalfa,8.8,Poor
F165,Silage Field,3.4,6.6,16.0,1.47,0.16,65,44,-9,1.0,124,IA,41.86,-93.74,0.36,9.3,19,Corn,209.9,Corn,194.0,Corn,209.2,Somewhat Poor
F166,Cover Crop,2.6,5.5,12.5,1.32,0.14,22,32,46,1.9,190,IA,42.04,-93.49,0.28,4.6,18,Corn,217.4,Corn,194.4,Corn,206.0,Somewhat Poor
F167,Green Manure,3.9,6.5,14.1,1.36,0.15,35,38,27,1.6,70,IA,41.92,-93.66,0.25,3.9,20,Alfalfa,9.8,Alfalfa,10.7,Alfalfa,10.5,Moderately Well
F168,Fallow Ground,1.5,6.2,11.7,1.45,0.13,50,46,4,0.3,58,IA,41.96,-93.72,0.35,5.0,16,Soybeans,48.1,Soybeans,48.3,Soybeans,56.1,Poor
F169,Set Aside,2.2,6.0,10.4,1.34,0.13,54,35,11,1.0,226,IA,41.88,-93.55,0.31,2.8,17,Corn,211.5,Corn,190.4,Corn,218.5,Somewhat Poor
F170,Conservation Area,5.1,6.5,21.8,1.07,0.22,69,31,0,0.3,172,IA,41.95,-93.53,0.21,1.3,29,Alfalfa,11.9,Alfalfa,10.0,Alfalfa,11.9,Well
F171,Wetland Buffer,1.3,7.0,7.8,1.4,0.13,53,30,17,1.2,236,IA,41.97,-93.58,0.46,6.0,15,Alfalfa,8.8,Alfalfa,8.9,Alfalfa,9.1,Poor
F172,Filter Strip,4.6,5.6,23.1,1.1,0.21,41,33,26,0.4,92,IA,42.0,-93.52,0.22,1.1,35,Corn,245.4,Corn,252.3,Corn,232.9,Well
F173,Grass Waterway,4.9,5.7,22.2,1.06,0.21,62,26,12,0.5,119,IA,41.78,-93.68,0.19,2.1,28,Wheat,69.7,Wheat,68.1,Wheat,66.2,Well
F174,Terrace Row,2.3,7.0,8.5,1.44,0.08,40,38,22,0.9,156,IA,41.86,-93.6,0.43,10.2,15,Wheat,46.6,Wheat,39.6,Wheat,37.8,Poor
F175,Contour Strip,2.7,7.0,16.9,1.26,0.19,22,21,57,1.0,127,IA,41.93,-93.75,0.26,5.3,25,Corn,219.9,Corn,201.9,Corn,203.2,Moderately Well
F176,Windbreak Lane,2.3,7.1,15.6,1.34,0.13,36,41,23,0.8,97,IA,41.79,-93.62,0.35,4.4,24,Alfalfa,8.4,Alfalfa,9.8,Alfalfa,9.2,Somewhat Poor
F177,Shelter Belt,3.7,7.0,20.3,1.24,0.21,55,35,10,0.5,58,IA,41.78,-93.72,0.2,0.8,35,Soybeans,70.9,Soybeans,68.7,Soybeans,76.5,Well
F178,Hedgerow Field,3.6,7.3,18.3,1.35,0.17,69,38,-7,0.4,206,IA,41.95,-93.7,0.27,4.9,29,Soybeans,62.7,Soybeans,66.6,Soybeans,65.5,Moderately Well
F179,Pollinator Patch,4.0,6.8,18.3,1.36,0.19,47,29,24,0.8,89,IA,41.89,-93.47,0.27,4.2,31,Soybeans,65.8,Soybeans,65.5,Soybeans,73.4,Moderately Well
F180,Wildlife Food Plot,4.5,7.4,18.6,1.15,0.24,47,22,31,1.3,116,IA,41.76,-93.54,0.16,2.0,40,Corn,254.3,Corn,230.5,Corn,239.7,Very Poor
F181,Native Prairie,2.9,7.4,14.3,1.26,0.16,58,26,16,1.7,53,IA,41.77,-93.46,0.25,2.2,25,Alfalfa,10.3,Alfalfa,10.1,Alfalfa,9.7,Moderately Well
F182,Restored Wetland,2.4,7.0,7.3,1.56,0.11,30,22,48,0.4,157,IA,42.0,-93.57,0.45,10.5,11,Corn,193.1,Corn,195.1,Corn,196.6,Poor
F183,Woodland Edge,3.7,7.1,17.4,1.23,0.19,51,35,14,1.2,180,IA,41.78,-93.5,0.22,1.4,24,Corn,223.5,Corn,238.6,Corn,235.3,Moderately Well
F184,Riparian Zone,3.3,6.5,10.5,1.47,0.16,64,25,11,1.1,141,IA,41.94,-93.55,0.31,5.2,18,Soybeans,61.6,Soybeans,66.6,Soybeans,62.0,Somewhat Poor
F185,Steep Pasture,3.0,5.9,15.4,1.45,0.18,39,29,32,1.1,66,IA,41.87,-93.75,0.38,5.7,21,Soybeans,55.5,Soybeans,57.2,Soybeans,64.9,Somewhat Poor
F186,Gentle Slope,2.9,7.5,16.9,1.39,0.14,29,42,29,0.9,110,IA,41.84,-93.58,0.25,2.3,24,Alfalfa,8.9,Alfalfa,9.2,Alfalfa,9.1,Moderately Well
F187,Level Terrain,1.5,6.8,11.0,1.51,0.09,69,38,-7,0.6,168,IA,42.03,-93.64,0.4,5.8,17,Alfalfa,8.3,Alfalfa,9.2,Alfalfa,9.4,Poor
F188,Rolling Upland,3.1,5.8,14.3,1.24,0.19,67,15,18,1.7,226,IA,41.99,-93.59,0.27,4.0,20,Corn,224.4,Corn,223.9,Corn,219.6,Moderately Well
F189,Bottom Floodplain,5.5,7.5,23.2,1.17,0.21,24,24,52,0.8,98,IA,41.78,-93.69,0.12,2.7,39,Corn,238.0,Corn,250.8,Corn,250.9,Very Poor
F190,Terrace Top,3.8,6.2,21.5,1.07,0.21,48,33,19,0.3,86,IA,41.79,-93.73,0.17,1.5,39,Alfalfa,10.4,Alfalfa,10.5,Alfalfa,10.7,Well
F191,Hill Shoulder,2.5,6.1,8.9,1.5,0.13,40,37,23,1.0,86,IA,41.94,-93.56,0.39,8.1,11,Corn,202.3,Corn,187.8,Corn,203.1,Poor
F192,Valley Bottom,2.6,7.3,13.4,1.47,0.16,40,26,34,1.6,122,IA,41.97,-93.71,0.33,5.8,19,Wheat,48.0,Wheat,53.9,Wheat,47.5,Somewhat Poor
F193,Plateau Field,4.7,5.9,25.0,1.12,0.22,40,20,40,0.5,132,IA,41.77,-93.55,0.2,0.8,38,Wheat,65.8,Wheat,67.7,Wheat,68.5,Well
F194,Escarpment Edge,4.3,6.0,21.3,1.12,0.18,60,31,9,0.7,101,IA,41.94,-93.49,0.17,1.8,30,Alfalfa,11.1,Alfalfa,11.5,Alfalfa,10.4,Well
F195,Draw Meadow,2.1,5.8,12.6,1.46,0.13,49,18,33,0.8,67,IA,41.97,-93.63,0.47,6.3,13,Alfalfa,8.5,Alfalfa,9.2,Alfalfa,8.0,Poor
F196,Seepage Area,3.8,7.1,22.8,1.22,0.23,32,19,49,0.7,231,IA,41.9,-93.52,0.17,0.8,40,Wheat,70.6,Wheat,63.1,Wheat,66.7,Well
F197,Spring Fed,4.0,5.7,25.1,1.06,0.24,37,15,48,0.8,188,IA,42.02,-93.45,0.21,0.8,30,Alfalfa,10.8,Alfalfa,9.8,Alfalfa,10.4,Well
F198,Rainwater Catch,2.8,5.6,14.9,1.26,0.16,31,47,22,0.6,173,IA,41.76,-93.48,0.27,5.4,30,Soybeans,67.1,Soybeans,58.4,Soybeans,60.9,Moderately Well
F199,Irrigation Plot,3.8,7.1,24.4,1.06,0.24,48,46,6,0.6,96,IA,41.96,-93.73,0.15,1.3,36,Wheat,60.6,Wheat,67.9,Wheat,69.9,Well
F200,Dry Land Acre,1.4,7.3,9.7,1.51,0.13,49,49,2,1.4,123,IA,41.83,-93.58,0.35,5.0,13,Wheat,47.6,Wheat,46.1,Wheat,50.7,Poor
